Data da Venda,Categoria do Produto,Quantidade em Estoque,Filial,Nome do Produto,Preço do Produto (R$)
indisponivel,Eletrodomésticos,19,Filial 3,Blush em pó,26.38
indisponivel,Eletrodomésticos,28,Filial 2,Corretivo,93.99
indisponivel,Eletrodomésticos,22,Filial 7,Delineador líquido,86.71
indisponivel,Alimentos,78,Filial 8,Pó compacto,26.53
indisponivel,Eletrônicos,19,Filial 6,Delineador líquido,17.06
indisponivel,Eletrodomésticos,29,Filial 8,Máscara de cílios,6.66
indisponivel,Roupas,72,Filial 10,Blush em pó,78.67
indisponivel,Eletrodomésticos,47,Filial 2,Base líquida,70.98
indisponivel,Roupas,58,Filial 2,Sombra de olhos,37.08
indisponivel,Roupas,96,Filial 8,Corretivo,93.9
indisponivel,Alimentos,74,Filial 7,Pó compacto,62.94
indisponivel,Alimentos,23,Filial 6,Blush em pó,84.91
indisponivel,Roupas,80,Filial 7,Batom matte,42.41
indisponivel,Alimentos,7,Filial 10,Lápis de sobrancelha,79.25
indisponivel,Eletrônicos,70,Filial 7,Corretivo,37.17
indisponivel,Roupas,97,Filial 4,Sombra de olhos,33.38
indisponivel,Eletrônicos,75,Filial 5,Lápis de sobrancelha,86.56
indisponivel,Eletrodomésticos,15,Filial 1,Batom líquido,80.83
indisponivel,Eletrônicos,30,Filial 8,Batom líquido,45.82
indisponivel,Eletrodomésticos,53,Filial 7,Batom matte,68.11
indisponivel,Eletrônicos,80,Filial 3,Batom matte,46.0
indisponivel,Roupas,37,Filial 6,Batom matte,48.87
indisponivel,Roupas,24,Filial 8,Máscara de cílios,64.28
indisponivel,Eletrodomésticos,1,Filial 7,Sombra de olhos,26.71
indisponivel,Eletrônicos,16,Filial 3,Batom matte,58.17
indisponivel,Alimentos,65,Filial 10,Sombra de olhos,81.93
indisponivel,Eletrodomésticos,54,Filial 10,Lápis de sobrancelha,89.96
indisponivel,Alimentos,20,Filial 1,Máscara de cílios,75.6
indisponivel,Eletrônicos,21,Filial 1,Corretivo,53.98
indisponivel,Eletrodomésticos,1,Filial 10,Batom matte,10.25
indisponivel,Eletrodomésticos,11,Filial 5,Corretivo,31.76
indisponivel,Eletrônicos,12,Filial 9,Batom líquido,33.69
indisponivel,Alimentos,68,Filial 2,Pó compacto,44.9
indisponivel,Alimentos,63,Filial 2,Máscara de cílios,62.27
indisponivel,Eletrodomésticos,38,Filial 8,Máscara de cílios,15.45
indisponivel,Roupas,62,Filial 1,Pó compacto,1.53
indisponivel,Eletrônicos,1,Filial 6,Batom líquido,70.0
indisponivel,Eletrônicos,60,Filial 7,Pó compacto,79.24
indisponivel,Roupas,39,Filial 1,Máscara de cílios,79.14
indisponivel,Alimentos,63,Filial 8,Base líquida,99.19
indisponivel,Alimentos,78,Filial 5,Máscara de cílios,37.06
indisponivel,Eletrônicos,12,Filial 8,Pó compacto,29.8
indisponivel,Eletrodomésticos,80,Filial 6,Corretivo,52.0
indisponivel,Eletrodomésticos,65,Filial 3,Base líquida,89.7
indisponivel,Eletrodomésticos,57,Filial 2,Batom líquido,91.31
indisponivel,Eletrônicos,77,Filial 6,Pó compacto,48.14
indisponivel,Eletrodomésticos,12,Filial 7,Batom líquido,82.31
indisponivel,Roupas,30,Filial 3,Delineador líquido,59.96
indisponivel,Eletrônicos,42,Filial 9,Lápis de sobrancelha,93.08
indisponivel,Roupas,37,Filial 8,Batom líquido,3.91
indisponivel,Eletrodomésticos,39,Filial 3,Lápis de sobrancelha,56.51
indisponivel,Roupas,69,Filial 7,Delineador líquido,11.15
indisponivel,Eletrônicos,86,Filial 4,Base líquida,48.75
indisponivel,Eletrodomésticos,14,Filial 10,Delineador líquido,33.31
indisponivel,Eletrônicos,81,Filial 2,Corretivo,60.97
indisponivel,Eletrodomésticos,11,Filial 8,Delineador líquido,14.53
indisponivel,Alimentos,99,Filial 9,Batom líquido,33.68
indisponivel,Alimentos,85,Filial 5,Máscara de cílios,2.83
indisponivel,Roupas,40,Filial 2,Batom matte,68.23
indisponivel,Alimentos,46,Filial 5,Pó compacto,21.76
indisponivel,Eletrodomésticos,63,Filial 8,Base líquida,47.02
indisponivel,Eletrônicos,28,Filial 6,Base líquida,43.03
indisponivel,Roupas,29,Filial 2,Base líquida,15.3
indisponivel,Alimentos,26,Filial 2,Blush em pó,85.81
indisponivel,Eletrodomésticos,96,Filial 9,Máscara de cílios,62.99
indisponivel,Alimentos,100,Filial 4,Pó compacto,68.27
indisponivel,Alimentos,49,Filial 7,Corretivo,5.31
indisponivel,Alimentos,59,Filial 5,Batom matte,53.41
indisponivel,Eletrônicos,100,Filial 1,Máscara de cílios,34.25
indisponivel,Roupas,18,Filial 7,Blush em pó,9.65
indisponivel,Alimentos,26,Filial 7,Batom matte,15.6
indisponivel,Alimentos,61,Filial 5,Pó compacto,82.53
indisponivel,Eletrodomésticos,84,Filial 10,Batom matte,99.55
indisponivel,Roupas,91,Filial 3,Base líquida,76.81
indisponivel,Roupas,84,Filial 6,Blush em pó,69.43
indisponivel,Eletrônicos,28,Filial 10,Máscara de cílios,58.69
indisponivel,Roupas,72,Filial 7,Batom matte,98.95
indisponivel,Eletrodomésticos,87,Filial 2,Batom líquido,78.87
indisponivel,Eletrodomésticos,35,Filial 1,Blush em pó,37.35
indisponivel,Eletrônicos,87,Filial 5,Sombra de olhos,36.85
indisponivel,Eletrônicos,93,Filial 1,Batom líquido,37.5
indisponivel,Eletrônicos,56,Filial 1,Corretivo,13.62
indisponivel,Eletrônicos,49,Filial 8,Pó compacto,8.02
indisponivel,Roupas,68,Filial 7,Corretivo,83.5
indisponivel,Alimentos,97,Filial 9,Delineador líquido,51.08
indisponivel,Roupas,10,Filial 5,Delineador líquido,96.37
indisponivel,Roupas,55,Filial 9,Corretivo,5.81
indisponivel,Alimentos,81,Filial 8,Batom matte,19.44
indisponivel,Alimentos,3,Filial 10,Corretivo,1.46
indisponivel,Alimentos,7,Filial 8,Pó compacto,9.15
indisponivel,Eletrônicos,41,Filial 9,Lápis de sobrancelha,9.57
indisponivel,Eletrodomésticos,10,Filial 1,Blush em pó,49.26
indisponivel,Eletrodomésticos,1,Filial 3,Blush em pó,28.92
indisponivel,Alimentos,54,Filial 6,Máscara de cílios,94.15
indisponivel,Roupas,63,Filial 6,Pó compacto,48.27
indisponivel,Eletrodomésticos,53,Filial 7,Máscara de cílios,45.64
indisponivel,Alimentos,60,Filial 7,Batom matte,33.77
indisponivel,Eletrônicos,43,Filial 2,Lápis de sobrancelha,83.21
indisponivel,Eletrônicos,98,Filial 9,Pó compacto,22.32
indisponivel,Eletrônicos,21,Filial 9,Pó compacto,5.96
indisponivel,Alimentos,53,Filial 8,Sombra de olhos,92.3
indisponivel,Alimentos,50,Filial 7,Blush em pó,12.34
indisponivel,Roupas,56,Filial 6,Pó compacto,10.27
indisponivel,Alimentos,6,Filial 5,Pó compacto,96.11
indisponivel,Eletrodomésticos,67,Filial 5,Lápis de sobrancelha,64.91
indisponivel,Roupas,52,Filial 4,Delineador líquido,52.4
indisponivel,Roupas,70,Filial 9,Base líquida,90.54
indisponivel,Roupas,53,Filial 1,Sombra de olhos,70.74
indisponivel,Alimentos,10,Filial 3,Corretivo,62.27
indisponivel,Alimentos,83,Filial 6,Corretivo,48.68
indisponivel,Alimentos,33,Filial 2,Blush em pó,23.46
indisponivel,Alimentos,12,Filial 5,Blush em pó,73.78
indisponivel,Alimentos,69,Filial 10,Corretivo,87.16
indisponivel,Eletrônicos,91,Filial 9,Pó compacto,16.85
indisponivel,Eletrodomésticos,68,Filial 1,Base líquida,76.64
indisponivel,Eletrônicos,57,Filial 7,Lápis de sobrancelha,54.9
indisponivel,Eletrodomésticos,34,Filial 8,Sombra de olhos,27.2
indisponivel,Alimentos,30,Filial 3,Máscara de cílios,59.07
indisponivel,Eletrônicos,29,Filial 10,Sombra de olhos,99.95
indisponivel,Eletrônicos,41,Filial 4,Blush em pó,11.0
indisponivel,Eletrodomésticos,4,Filial 10,Delineador líquido,99.5
indisponivel,Roupas,58,Filial 7,Pó compacto,22.48
indisponivel,Alimentos,54,Filial 3,Pó compacto,70.12
indisponivel,Eletrônicos,53,Filial 3,Lápis de sobrancelha,47.73
indisponivel,Roupas,91,Filial 3,Base líquida,76.98
indisponivel,Eletrônicos,67,Filial 6,Blush em pó,47.95
indisponivel,Eletrodomésticos,45,Filial 9,Pó compacto,6.78
indisponivel,Eletrodomésticos,45,Filial 4,Corretivo,22.66
indisponivel,Roupas,18,Filial 5,Máscara de cílios,47.59
indisponivel,Eletrônicos,23,Filial 6,Pó compacto,8.67
indisponivel,Roupas,47,Filial 10,Batom matte,51.75
indisponivel,Roupas,73,Filial 1,Máscara de cílios,55.75
indisponivel,Eletrodomésticos,38,Filial 5,Batom matte,38.21
indisponivel,Eletrônicos,52,Filial 10,Batom matte,90.65
indisponivel,Eletrodomésticos,61,Filial 4,Pó compacto,6.94
indisponivel,Alimentos,92,Filial 9,Base líquida,57.36
indisponivel,Eletrônicos,86,Filial 2,Máscara de cílios,4.27
indisponivel,Roupas,23,Filial 4,Blush em pó,67.2
indisponivel,Alimentos,85,Filial 3,Máscara de cílios,98.1
indisponivel,Eletrodomésticos,50,Filial 4,Blush em pó,84.94
indisponivel,Alimentos,63,Filial 6,Batom líquido,58.91
indisponivel,Eletrônicos,61,Filial 5,Pó compacto,96.86
indisponivel,Eletrônicos,70,Filial 4,Delineador líquido,85.35
indisponivel,Eletrodomésticos,55,Filial 10,Máscara de cílios,80.35
indisponivel,Alimentos,45,Filial 6,Blush em pó,2.15
indisponivel,Roupas,88,Filial 8,Delineador líquido,64.49
indisponivel,Alimentos,36,Filial 3,Sombra de olhos,70.7
indisponivel,Eletrodomésticos,15,Filial 3,Lápis de sobrancelha,44.67
indisponivel,Eletrodomésticos,47,Filial 9,Base líquida,30.42
indisponivel,Alimentos,87,Filial 6,Corretivo,31.79
indisponivel,Eletrodomésticos,4,Filial 9,Batom matte,37.82
indisponivel,Eletrodomésticos,40,Filial 5,Blush em pó,88.26
indisponivel,Eletrônicos,9,Filial 2,Blush em pó,26.6
indisponivel,Roupas,44,Filial 8,Sombra de olhos,74.21
indisponivel,Alimentos,31,Filial 10,Base líquida,45.22
indisponivel,Alimentos,96,Filial 8,Base líquida,28.09
indisponivel,Eletrônicos,45,Filial 6,Batom matte,62.53
indisponivel,Alimentos,81,Filial 8,Sombra de olhos,28.69
indisponivel,Roupas,6,Filial 5,Sombra de olhos,67.67
indisponivel,Eletrônicos,8,Filial 10,Delineador líquido,86.63
indisponivel,Alimentos,12,Filial 9,Máscara de cílios,75.24
indisponivel,Roupas,37,Filial 7,Delineador líquido,9.53
indisponivel,Roupas,38,Filial 6,Sombra de olhos,58.7
indisponivel,Alimentos,21,Filial 7,Corretivo,41.91
indisponivel,Roupas,13,Filial 4,Lápis de sobrancelha,34.24
indisponivel,Eletrônicos,80,Filial 1,Batom matte,15.69
indisponivel,Alimentos,71,Filial 9,Batom matte,68.83
indisponivel,Alimentos,8,Filial 9,Pó compacto,67.0
indisponivel,Eletrônicos,2,Filial 9,Sombra de olhos,29.15
indisponivel,Eletrodomésticos,48,Filial 10,Lápis de sobrancelha,98.94
indisponivel,Eletrônicos,54,Filial 10,Corretivo,50.1
indisponivel,Roupas,28,Filial 10,Batom líquido,63.19
indisponivel,Eletrodomésticos,14,Filial 4,Batom matte,25.2
indisponivel,Alimentos,81,Filial 9,Blush em pó,45.62
indisponivel,Alimentos,69,Filial 2,Base líquida,73.27
indisponivel,Roupas,84,Filial 9,Base líquida,77.17
indisponivel,Eletrodomésticos,53,Filial 1,Blush em pó,55.1
indisponivel,Alimentos,49,Filial 3,Batom líquido,72.3
indisponivel,Eletrodomésticos,12,Filial 7,Base líquida,78.7
indisponivel,Roupas,19,Filial 4,Corretivo,47.23
indisponivel,Alimentos,8,Filial 5,Lápis de sobrancelha,84.6
indisponivel,Eletrodomésticos,77,Filial 10,Blush em pó,15.92
indisponivel,Eletrodomésticos,6,Filial 4,Delineador líquido,40.97
indisponivel,Eletrônicos,52,Filial 2,Pó compacto,17.85
indisponivel,Eletrônicos,52,Filial 8,Batom líquido,88.73
indisponivel,Eletrodomésticos,30,Filial 3,Blush em pó,42.18
indisponivel,Eletrodomésticos,29,Filial 8,Blush em pó,90.03
indisponivel,Eletrônicos,32,Filial 1,Blush em pó,62.38
indisponivel,Alimentos,80,Filial 4,Máscara de cílios,2.3
indisponivel,Eletrônicos,16,Filial 4,Máscara de cílios,61.67
indisponivel,Eletrodomésticos,99,Filial 1,Blush em pó,12.87
indisponivel,Eletrônicos,13,Filial 9,Corretivo,95.35
indisponivel,Eletrônicos,74,Filial 5,Máscara de cílios,66.98
indisponivel,Roupas,15,Filial 5,Corretivo,17.05
indisponivel,Alimentos,72,Filial 10,Delineador líquido,2.35
indisponivel,Alimentos,95,Filial 3,Batom líquido,53.51
indisponivel,Alimentos,88,Filial 9,Corretivo,55.6
indisponivel,Eletrônicos,23,Filial 10,Pó compacto,45.67
indisponivel,Eletrônicos,25,Filial 9,Batom matte,6.39
indisponivel,Alimentos,26,Filial 5,Lápis de sobrancelha,97.64
indisponivel,Roupas,99,Filial 4,Sombra de olhos,89.79
indisponivel,Eletrodomésticos,75,Filial 2,Corretivo,33.89
indisponivel,Eletrodomésticos,25,Filial 9,Sombra de olhos,24.9
indisponivel,Eletrodomésticos,19,Filial 10,Batom líquido,96.44
indisponivel,Eletrônicos,82,Filial 10,Delineador líquido,56.63
indisponivel,Eletrodomésticos,32,Filial 7,Batom líquido,91.76
indisponivel,Eletrônicos,43,Filial 5,Pó compacto,31.41
indisponivel,Roupas,82,Filial 1,Delineador líquido,41.49
indisponivel,Alimentos,23,Filial 5,Máscara de cílios,35.63
indisponivel,Roupas,79,Filial 10,Base líquida,13.17
indisponivel,Eletrônicos,81,Filial 10,Batom matte,35.1
indisponivel,Eletrônicos,67,Filial 4,Delineador líquido,26.65
indisponivel,Roupas,20,Filial 9,Pó compacto,44.3
indisponivel,Alimentos,30,Filial 5,Sombra de olhos,86.83
indisponivel,Eletrônicos,83,Filial 9,Lápis de sobrancelha,21.81
indisponivel,Eletrodomésticos,85,Filial 2,Máscara de cílios,58.22
indisponivel,Eletrônicos,79,Filial 1,Batom matte,47.59
indisponivel,Roupas,75,Filial 8,Blush em pó,36.36
indisponivel,Roupas,97,Filial 2,Batom matte,23.1
indisponivel,Eletrônicos,33,Filial 9,Máscara de cílios,42.57
indisponivel,Roupas,97,Filial 10,Batom matte,87.49
indisponivel,Eletrodomésticos,89,Filial 8,Batom líquido,57.73
indisponivel,Alimentos,28,Filial 4,Sombra de olhos,90.69
indisponivel,Eletrodomésticos,42,Filial 1,Corretivo,42.19
indisponivel,Eletrodomésticos,57,Filial 8,Delineador líquido,57.16
indisponivel,Eletrônicos,49,Filial 8,Delineador líquido,60.34
indisponivel,Eletrodomésticos,7,Filial 7,Lápis de sobrancelha,52.33
indisponivel,Alimentos,31,Filial 3,Máscara de cílios,75.09
indisponivel,Roupas,41,Filial 3,Máscara de cílios,16.82
indisponivel,Roupas,6,Filial 2,Batom líquido,55.89
indisponivel,Roupas,67,Filial 1,Delineador líquido,48.4
indisponivel,Alimentos,14,Filial 8,Batom líquido,79.22
indisponivel,Eletrodomésticos,67,Filial 4,Corretivo,71.86
indisponivel,Alimentos,84,Filial 7,Base líquida,42.08
indisponivel,Roupas,74,Filial 7,Delineador líquido,2.88
indisponivel,Eletrônicos,71,Filial 9,Batom matte,46.45
indisponivel,Alimentos,27,Filial 10,Batom matte,99.73
indisponivel,Eletrônicos,12,Filial 6,Base líquida,90.56
indisponivel,Alimentos,46,Filial 9,Batom líquido,77.96
indisponivel,Roupas,37,Filial 6,Sombra de olhos,89.09
indisponivel,Eletrônicos,21,Filial 8,Lápis de sobrancelha,50.84
indisponivel,Eletrônicos,80,Filial 2,Corretivo,80.3
indisponivel,Roupas,43,Filial 4,Pó compacto,84.23
indisponivel,Eletrônicos,6,Filial 2,Batom líquido,44.06
indisponivel,Eletrodomésticos,80,Filial 6,Delineador líquido,18.79
indisponivel,Eletrodomésticos,47,Filial 9,Base líquida,36.78
indisponivel,Eletrônicos,16,Filial 1,Máscara de cílios,97.3
indisponivel,Alimentos,97,Filial 4,Batom matte,36.58
indisponivel,Eletrônicos,10,Filial 3,Base líquida,42.94
indisponivel,Eletrodomésticos,18,Filial 5,Base líquida,69.63
indisponivel,Alimentos,39,Filial 5,Corretivo,93.65
indisponivel,Roupas,69,Filial 2,Corretivo,24.51
indisponivel,Eletrônicos,48,Filial 2,Batom líquido,10.69
indisponivel,Roupas,58,Filial 9,Base líquida,28.14
indisponivel,Eletrônicos,81,Filial 6,Base líquida,95.79
indisponivel,Alimentos,59,Filial 8,Pó compacto,63.76
indisponivel,Eletrônicos,50,Filial 6,Lápis de sobrancelha,27.3
indisponivel,Eletrodomésticos,93,Filial 6,Pó compacto,63.01
indisponivel,Alimentos,93,Filial 4,Delineador líquido,92.11
indisponivel,Eletrodomésticos,68,Filial 4,Blush em pó,10.97
indisponivel,Eletrodomésticos,72,Filial 7,Delineador líquido,94.17
indisponivel,Alimentos,17,Filial 7,Lápis de sobrancelha,12.88
indisponivel,Roupas,30,Filial 9,Batom matte,15.27
indisponivel,Alimentos,76,Filial 3,Máscara de cílios,71.67
indisponivel,Eletrodomésticos,100,Filial 2,Pó compacto,30.27
indisponivel,Eletrodomésticos,77,Filial 1,Blush em pó,57.3
indisponivel,Eletrodomésticos,46,Filial 5,Corretivo,76.73
indisponivel,Eletrodomésticos,24,Filial 9,Sombra de olhos,66.39
indisponivel,Eletrônicos,61,Filial 7,Batom líquido,16.84
indisponivel,Eletrodomésticos,69,Filial 5,Lápis de sobrancelha,15.01
indisponivel,Eletrônicos,4,Filial 2,Blush em pó,47.44
indisponivel,Alimentos,62,Filial 2,Sombra de olhos,71.13
indisponivel,Alimentos,22,Filial 10,Batom líquido,92.12
indisponivel,Eletrônicos,52,Filial 9,Base líquida,67.92
indisponivel,Eletrodomésticos,3,Filial 9,Lápis de sobrancelha,52.46
indisponivel,Eletrônicos,16,Filial 5,Batom líquido,2.72
indisponivel,Alimentos,7,Filial 8,Batom matte,84.72
indisponivel,Eletrônicos,78,Filial 9,Delineador líquido,72.44
indisponivel,Alimentos,98,Filial 8,Máscara de cílios,73.86
indisponivel,Eletrônicos,44,Filial 6,Batom líquido,78.87
indisponivel,Eletrodomésticos,67,Filial 9,Corretivo,48.12
indisponivel,Eletrônicos,33,Filial 4,Base líquida,88.12
indisponivel,Alimentos,71,Filial 1,Lápis de sobrancelha,59.25
indisponivel,Eletrônicos,82,Filial 6,Blush em pó,41.66
indisponivel,Alimentos,34,Filial 6,Pó compacto,51.03
indisponivel,Eletrônicos,43,Filial 2,Batom matte,79.72
indisponivel,Eletrônicos,10,Filial 2,Batom líquido,6.33
indisponivel,Eletrônicos,15,Filial 6,Batom líquido,15.24
indisponivel,Roupas,87,Filial 2,Lápis de sobrancelha,80.72
indisponivel,Eletrônicos,66,Filial 8,Lápis de sobrancelha,24.08
indisponivel,Alimentos,22,Filial 6,Corretivo,88.86
indisponivel,Eletrônicos,99,Filial 8,Batom líquido,64.8
indisponivel,Eletrodomésticos,19,Filial 3,Delineador líquido,32.16
indisponivel,Eletrodomésticos,71,Filial 9,Batom matte,55.41
indisponivel,Alimentos,82,Filial 8,Corretivo,84.68
indisponivel,Roupas,42,Filial 10,Pó compacto,97.79
indisponivel,Eletrônicos,84,Filial 5,Sombra de olhos,61.39
indisponivel,Alimentos,21,Filial 2,Blush em pó,62.34
indisponivel,Alimentos,9,Filial 1,Pó compacto,75.12
indisponivel,Roupas,100,Filial 2,Batom matte,30.13
indisponivel,Roupas,78,Filial 4,Corretivo,55.63
indisponivel,Alimentos,21,Filial 5,Batom matte,9.33
indisponivel,Roupas,20,Filial 3,Pó compacto,29.52
indisponivel,Eletrônicos,24,Filial 4,Base líquida,97.93
indisponivel,Eletrônicos,90,Filial 6,Máscara de cílios,43.54
indisponivel,Roupas,11,Filial 10,Blush em pó,46.93
indisponivel,Eletrônicos,27,Filial 5,Sombra de olhos,50.43
indisponivel,Eletrônicos,19,Filial 8,Máscara de cílios,17.43
indisponivel,Alimentos,48,Filial 1,Corretivo,87.22
indisponivel,Alimentos,27,Filial 5,Máscara de cílios,61.59
indisponivel,Alimentos,66,Filial 7,Batom matte,34.47
indisponivel,Eletrodomésticos,27,Filial 5,Lápis de sobrancelha,99.23
indisponivel,Roupas,9,Filial 2,Blush em pó,77.15
indisponivel,Eletrodomésticos,13,Filial 8,Lápis de sobrancelha,87.7
indisponivel,Roupas,74,Filial 5,Batom matte,15.19
indisponivel,Eletrodomésticos,4,Filial 9,Delineador líquido,45.75
indisponivel,Roupas,67,Filial 3,Sombra de olhos,80.72
indisponivel,Roupas,47,Filial 10,Corretivo,79.29
indisponivel,Eletrodomésticos,39,Filial 8,Lápis de sobrancelha,1.98
indisponivel,Alimentos,26,Filial 10,Lápis de sobrancelha,52.41
indisponivel,Roupas,21,Filial 8,Sombra de olhos,26.55
indisponivel,Roupas,54,Filial 7,Blush em pó,38.85
indisponivel,Alimentos,38,Filial 8,Lápis de sobrancelha,68.89
indisponivel,Eletrônicos,38,Filial 3,Delineador líquido,74.26
indisponivel,Eletrônicos,29,Filial 2,Delineador líquido,73.46
indisponivel,Roupas,62,Filial 8,Máscara de cílios,62.43
indisponivel,Eletrônicos,44,Filial 10,Base líquida,6.54
indisponivel,Alimentos,68,Filial 10,Pó compacto,21.71
indisponivel,Roupas,51,Filial 7,Lápis de sobrancelha,24.66
indisponivel,Alimentos,27,Filial 8,Batom líquido,80.63
indisponivel,Roupas,12,Filial 3,Base líquida,3.21
indisponivel,Roupas,17,Filial 1,Base líquida,74.98
indisponivel,Eletrodomésticos,47,Filial 2,Delineador líquido,45.42
indisponivel,Alimentos,10,Filial 2,Sombra de olhos,91.06
indisponivel,Alimentos,24,Filial 6,Sombra de olhos,80.21
indisponivel,Eletrônicos,35,Filial 5,Batom matte,62.63
indisponivel,Eletrodomésticos,11,Filial 1,Blush em pó,93.65
indisponivel,Eletrodomésticos,16,Filial 6,Máscara de cílios,53.03
indisponivel,Roupas,17,Filial 9,Pó compacto,62.4
indisponivel,Roupas,31,Filial 10,Máscara de cílios,19.14
indisponivel,Eletrodomésticos,14,Filial 5,Sombra de olhos,5.93
indisponivel,Eletrodomésticos,71,Filial 6,Pó compacto,61.77
indisponivel,Eletrônicos,39,Filial 5,Batom líquido,22.64
indisponivel,Alimentos,79,Filial 5,Pó compacto,9.68
indisponivel,Eletrodomésticos,38,Filial 9,Corretivo,78.39
indisponivel,Alimentos,74,Filial 8,Delineador líquido,85.19
indisponivel,Alimentos,19,Filial 7,Delineador líquido,2.7
indisponivel,Eletrônicos,29,Filial 7,Batom líquido,11.86
indisponivel,Roupas,21,Filial 6,Batom matte,99.03
